ID,Sentence,difficulty
1,"Salut les amis, bienvenue dans ce nouvel épisode.",A1
2,Aujourd'hui je suis dans le 11e arrondissement et je vais demander aux gens de parler de leurs habitudes alimentaires.,A2
3,"Alors c'est parti, qu'est-ce que vous avez mangé depuis ce matin?",A2
4,"Rien du tout parce que j'organise des cours de yoga et des expériences de transe consciente, donc je n'ai pas mangé avant mais je mangerai après.",B1
5,Un smoothie ce matin et ce midi une salade de lentille avec des œufs pochés.,A1
6,Alors une petite tartine de Nutella avec un bon café et puis ce midi j'ai mangé des brocolis avec une salade verte assaisonnée avec de l'huile d'olive donc très light.,B1
7,Qu'est-ce que vous avez mangé dans la journée depuis que vous vous êtes réveillé?,A2
8,"Ce matin, j'ai mangé du pain avec du beurre et du fromage et un café au lait et ce midi, j'ai mangé dans un restaurant grec, c'était une sorte de pita avec du taboulé, de la tapenade et du tzatziki.",B1
9,"Voilà, qu'est-ce que vous avez mangé aujourd'hui depuis que vous êtes debout?",A2
10,"On sort tout juste du restaurant Le PNY donc on a mangé de gros hamburgers, la très bonne viande, et ce matin pour le petit-déjeuner pas vraiment petit-déjeuner on sort de soirée donc on est rentré relativement tard et on a pas beaucoup mangé le matin, si si il y avait le café quand même.",A2
11,"Alors du coup ce matin je n'ai pas mangé de petit déjeuner mais on est allé au marché à Véronais à Berc à Cour Saint-Émilion et donc on a mangé des petits plats typiques de là-bas, Aligo saucisses tout ça très sympa, je conseille.",B1
12,"Super, vous avez dit que c'était où à Cour Saint-Émilion dans le 12e, ok très bien.",A2
13,"Alors vous, vous avez mangé la même chose aussi?",A2
14,"Des plats avéronnais, que de la LIGO, je n'ai rien mangé d'autre que de la LIGO de toute la journée.",B1
15,"Dès mon réveil, et alors comme c'est pour les étrangers cette vidéo, peut-être les gens ne savent pas ce que c'est, vous pouvez expliquer ce que c'est la LIGO, quels sont les ingrédients de base?",B1
16,"Ok donc moi c'est la première fois que j'en mangeais aujourd'hui donc je sais, c'est de la pomme de terre, du lait, de la crème et du fromage, beaucoup de fromage, que du fromage et c'est sous quelle forme?",A2
17,"C'est plutôt liquide, c'est comme de la purée quoi avec des grumeaux.",B1
18,Qu'est-ce que vous avez mangé aujourd'hui depuis ce matin?,A2
19,Alors j'ai pris un bol de museli avec du lait d'avoine et une banane et un curry d'aubergine avec un banana bread.,B1
20,"Alors j'ai mangé du taboulé libanais et du poulet rôti et du pain grillé, donc au petit-déjeuner du pain grillé, exactement.",B1
21,Et alors le taboulé et le poulet rôti c'était fait maison?,B1
22,"Non, c'était pas fait maison, j'avais pas le temps, vous l'avez mangé où?",A2
23,"Ah je l'ai mangé à la maison mais c'était pas fait maison, c'était acheté à la boucherie traiteur.",A2
24,Est-ce que c'est le genre de chose que vous mangez habituellement ou c'est exceptionnel?,B1
25,"Euh non, c'est plutôt exceptionnel, d'habitude je mange plus des trucs là, genre des pâtes, des trucs comme ça.",A2
26,Est-ce que vous avez mangé aujourd'hui est-ce que c'est dans vos habitudes ou c'est juste le dimanche ou juste le weekend?,A2
27,"Plutôt dans mes habitudes, vous mangez tous les jours des smoothies le matin?",A2
28,"Ouais, ok, et est-ce qu'il y a des choses que vous mangez tous les jours à part les smoothies, un aliment par exemple du pain ou un légume ou un fruit?",A2
29,"Non, je pense pas, bah comme fruits si des bananes je vous dirais du coup mais sinon non, je pense pas, je sais pas trop, vous mangez tous les jours des bananes?",A2
30,"Ouais, plusieurs bananes dans la journée?",A1
31,"Non, une seule.",A1
